"Reference ID",Name,Attn,Email,Address,Country,"Telephone Number",Tax,Status,"Entry By","Entry Date","Modified By","Modifed Date",Status
CUST000111,"CABLE TECH. PT ","YANTE MS",CABLE@YAHOO.COM,"DELTA SILICON INDUSTRIAL park JL. MERANT III BLOK L10-10A LIPPO CIKARANG BEKASI ",Indonesia,89902129,0,Active,xyz,"2015-09-19 14:15:45",xyz,"2015-09-19 16:17:16",Active
CUST000112,"TAN STAR MATERIAL ","MR. LIN / MS. LIN",TANSTAR@GMAIL.COM,"KOMPLEK TAMAN PALEM LESTARI RUKO PELANG BLOK C 32 JL. KAMAL RAYA OUTER RING ROAD CENGKARENG JAKARTA BARAT",Indonesia,55961888,0,Active,xyz,"2015-09-19 14:18:15",,"0000-00-00 00:00:00",Active
CUST000113,"EAGLE NICE INDONESIA. PT ","MS. SITI/ MS.SARA ",exim_003@eaglenice.co.id,"JL. RAYA SERANG KM70 DESA KIBIN KEC. KIBIN KAB.SERANG BANTEN INDONESIA",Indonesia,403900,0,Active,xyz,"2015-09-19 14:25:53",,"0000-00-00 00:00:00",Active
CUST000114,"DRAGON FOREVER.PT","DAVID ",ruswaty@rsiapparel.com,"JL BELITUNG BLOK D35-36 KAWASAN BERIKAT CAKUNG",Indonesia,4405160,0,Active,xyz,"2015-09-19 14:28:03",,"0000-00-00 00:00:00",Active
CUST000115,"FERMING THENNY","MR. FERMING",fer_10_ay@yahoo.com,"JLN.AGUNG BARAT 9 BLOK B8 NO.12 SUNTER AGUNG PODOMORO, JAKARTA UTARA",Indonesia,6504662,0,Active,xyz,"2015-09-19 14:31:35",,"0000-00-00 00:00:00",Active
CUST000116,"GEMILANG MAJU KENCANA. PT.","MR. ALEX LIM",gemilang@gmail.com,"JALAN JABABEKA XII B BLOK W38 KAWASAN INDUSTRI JABABEKA CIKARANG BEKASI 17530 JAWA BARAT",Indonesia,89831038,0,Active,admin,"2015-09-19 14:31:54",,"0000-00-00 00:00:00",Active
CUST000117,FREETREND.PT,"MR Daniel , Sukin",freetrend@gmail.com,"Kampung kalanturan RT 01/RW02 Jl. Raya serang KM 25 ,Desa Sentul kecamatan balaraja",Indonesia,5951810,0,Active,xyz,"2015-09-19 14:33:15",xyz,"2015-09-19 14:58:03",Active
CUST000118,"RAJAWALI MULTI PERSADA CV",FERIYANTO,RAJAWALI@YAHOO.COM,"JL. TANAH TINGGI IV GG. 4 NO. 14 RT12/02 JAKARTA PUSAT",Indonesia,98639371,0,Active,xyz,"2015-09-19 14:35:06",,"0000-00-00 00:00:00",Active
CUST000119,"INTER BUANA MACHINERY .PT.","MR. ALUN",interbuana@yahoo.com,"JL.PROF DR. LATUMENTEN NO.50 KOMP.SENTRA LATUMENTEN BLOK E NO.2 JAKARTA BARAT INDONESIA",Indonesia,56975531,0,Active,admin,"2015-09-19 14:35:25",,"0000-00-00 00:00:00",Active
CUST000120,"SINAR MASANDA INDUSTRI PT","MS. WULAN",mkt.woulan@smimold.net,"JL. RAYA PEMDA TIGARAKSA RT.004/001 DESA BOJONG, KEC. CIKUPA KAB,. TANGERANG - BANTEN 15710",Indonesia,59411395,0,Active,xyz,"2015-09-19 14:37:19",,"0000-00-00 00:00:00",Active
CUST000121,"TAINAN ENTERPRAISE.PT",Suhini#290,tainan@gmail.com,"Kawasan berikat nusantara Jl irian blok E No.28 Cakung Clinincing ",Indonesia,44832171,0,Active,xyz,"2015-09-19 14:38:07",,"0000-00-00 00:00:00",Active
CUST000122,"CCH INDONESIA PT.","MS. CORA",cora@cchcap.com.tw,"JL. DESA GIRIASIH NO.16 RT.001/RW.013 BATUJAJAR  BANDUNG BARAT",Indonesia,6866986,0,Active,xyz,"2015-09-19 14:40:03",,"0000-00-00 00:00:00",Active
CUST000123,"GRAKINDO MAJU SUKSES .PT.","MR. RUDI SISWANTO",dewi@grakindo.com,"JL.MEKAR WANGI NO.8 KAWASAN INDUSTRI BENUA PABUARAN TUMPENG TANGERANG 15111",Indonesia,5530751,0,Active,admin,"2015-09-19 14:40:03",,"0000-00-00 00:00:00",Active
CUST000124,"MASTAR PERDANA INDONESIA .PT","MEI LING",meiling.jkt@twinstar-group.com,"JL.JEMBATAN BATU NO.60-61B JAKARTA BARAT 1110 INDONESIA",Indonesia,6393388,0,Active,admin,"2015-09-19 14:42:08",,"0000-00-00 00:00:00",Active
CUST000125,"DERMA INTERNATIONAL PT. ","ANDY WANG/AMEI",derma@bdg.centrin.net.id,"JL.PANYAUNGAN NO 8 CILEUNYI WETAN  BANDUNG 40393 INDONESIA",Indonesia,7797096,0,Active,xyz,"2015-09-19 14:42:37",,"0000-00-00 00:00:00",Active
CUST000126,"JABAPUTRA BINAWAN UNGGUL .PT",WIDA,jabaputra@gmail.com,"JL.LURAH MANAT NO.7 RT01/06 KRANGGAN LEMBUR KEL.JATIRANGGA KEC.JAISAPUTRA KOTA BEKASI",Indonesia,84306610,0,Active,admin,"2015-09-19 14:45:30",,"0000-00-00 00:00:00",Active
CUST000127,"CHAO LONG MOTOR PARTS INDONESIA PT.","MR HUANG CHENG CHIANGA",yenpurc_cl@yahoo.com,"DELTA SILICON INDUSTRIAL  PARK  JL MERANTI NO 5-6,BLOCK L2, LIPO CIKARANG BEKASI INDONESIA-",Indonesia,89118288,0,Active,xyz,"2015-09-19 14:45:42",,"0000-00-00 00:00:00",Active
